id,rank,workers,company,state,state,city,metro,growth,revenue,industry,yrs_on_list
25722,201,45,Metis Solutions,Virginia,VA,Alexandria,Washington DC,2170.6344,8686766,Government Services,1
25130,202,17,Title Boxing Club,Kansas,KS,Overland Park,Kansas City MO-KS,2168.421,34252000,Health,1
23061,203,52,VETS Etc.,California,CA,Seaside,Salinas CA,2162.0323,6480926,IT Services,2
23274,204,32,LocalResponse,New York,NY,New York,New York City,2152.8937,9565336,Advertising & Marketing,2
25498,205,36,Tongal,California,CA,Santa Monica,Los Angeles,2144.0473,8417085,Advertising & Marketing,1
23044,206,84,Novisync Solutions,New York,NY,Fishkill,Poughkeepsie-Newburgh-Middletown NY,2143.7949,8517670,IT Services,2
26057,207,40,Tax Guard,Colorado,CO,Boulder,Boulder CO,2140.5432,4354787,Financial Services,1
25899,208,12,Nexgen Property Solutions,Texas,TX,Laredo,Laredo TX,2135.5987,5378001,Financial Services,1
25565,209,120,PerformTel,Minnesota,MN,Ramsey,Minneapolis,2120.61,2273616,Business Products & Services,1
23172,210,25,R.J. Allen & Associates,Mississippi,MS,Oxford,Oxford MS,2117.7132,26199465,Construction,2
24913,211,6,Splash and Dash for Dogs International,Florida,FL,St. Petersburg,Tampa,2117.7004,2291195,Consumer Products & Services,1
25949,212,17,ePremium Insurance,Ohio,OH,Mason,Cincinnati,2109.317,3795474,Insurance,1
22916,213,15,McAfee Institute,Illinois,IL,Peoria,Peoria IL,2097.07,39571912,Education,2
25983,214,7,IDsecurityonline.com,New York,NY,New York,New York City,2093.0319,4898356,Security,1
26595,215,25,Wren,California,CA,Los Angeles,Los Angeles,2092.1892,5154056,Retail,1
24898,216,16,Newmind Group,Michigan,MI,Kalamazoo,Kalamazoo-Portage MI,2065.3678,15469496,IT Services,1
26306,217,43,Obsidian Analysis,District of Columbia,DC,Washington,Washington DC,2061.3142,9105768,Government Services,1
24959,218,10,Universal Synaptics,Utah,UT,Roy,Ogden-Clearfield UT,2042.1898,2149259,Government Services,1
26587,219,13,Global Commerce and Services,Louisiana,LA,Harvey,New Orleans-Metairie-Kenner LA,2040.9645,3521801,Government Services,1
26448,220,42,Stoneside Blinds & Shades,Colorado,CO,Denver,Denver,2040.0212,4893244,Consumer Products & Services,1
23098,221,35,Blue Star Tec,Illinois,IL,Bloomingdale,Chicago,2033.014,3869970,IT Services,2
25143,222,22,Loqate,California,CA,San Mateo,San Francisco,2025.7586,4464093,Software,1
25660,223,155,PresPro,North Carolina,NC,Harrisburg,Charlotte,2011.857,3539958,Construction,1
24646,224,59,PcCareSupport,Utah,UT,Provo,Provo-Orem UT,2001.4546,2364977,IT Services,1
25571,225,42,AltaSource Group,Washington,WA,Kirkland,Seattle,1996.6068,7116722,IT Services,1
26014,226,74,VDX,New Jersey,NJ,Cranford,New York City,1996.4706,8910000,IT Services,1
25086,227,30,Cloudbilt,North Carolina,NC,Charlotte,Charlotte,1994.6083,4074453,Software,1
25133,228,14,Strategi Consulting,Maryland,MD,Chevy Chase,Washington DC,1994.359,3475505,IT Services,1
24786,229,3,PPT Fiberglass,Texas,TX,Houston,Houston,1983.3333,2500000,Manufacturing,1
25449,230,4,X5 Networks,Delaware,DE,Wilmington,Philadelphia,1970.7638,2114664,IT Services,1
25944,231,74,Pathoras,Virginia,VA,Fairfax,Washington DC,1960.201,9306999,Government Services,1
26405,232,11,American Wireless,Virginia,VA,Arlington,Washington DC,1957.7655,42522345,Telecommunications,1
25112,233,174,SendGrid,Colorado,CO,Boulder,Boulder CO,1944.7493,28906069,Software,1
25091,234,28,Laudan Properties,Ohio,OH,Twinsburg,Akron OH,1938.44,10107299,Real Estate,1
25862,235,20,Streamline Solutions,Pennsylvania,PA,Philadelphia,Philadelphia,1926.8608,7955530,Real Estate,1
26201,236,7,Eau De Luxe,New York,NY,Long Island City,New York City,1926.8199,2540031,Retail,1
26109,237,16,Levitate Media,California,CA,San Francisco,San Francisco,1923.3738,2094293,Media,1
25447,238,80,Avani Technology Solutions,New York,NY,Rochester,Rochester NY,1915.7856,7333811,IT Services,1
25891,239,19,Expert Technical Solutions,Georgia,GA,Atlanta,Atlanta,1908.1744,3493139,IT Services,1
25334,240,25,Motiv Power Systems,California,CA,Foster City,San Francisco,1900.4708,2681071,Energy,1
25276,241,10,Allurez,New York,NY,Great Neck,New York City,1895.0226,3681934,Retail,1
25999,242,125,Logical Paradigm,Virginia,VA,Herndon,Washington DC,1892.7737,7642008,IT Services,1
25001,243,125,LiveRail,California,CA,San Francisco,San Francisco,1892.6301,72731000,Advertising & Marketing,1
25218,244,24,Hydro Flask,Oregon,OR,Bend,Prineville OR,1890.4539,12684307,Consumer Products & Services,1
23012,245,250,Act-On Software,Oregon,OR,Beaverton,Portland OR,1879.873,19378839,Software,2
25652,246,3,Spartan Value Investors,Alabama,AL,Birmingham,Birmingham-Hoover AL,1865.5423,3370905,Real Estate,1
26122,247,16,GreenRope,California,CA,Cardiff,San Diego,1858.9052,2129330,Software,1
25329,248,385,Lending Club,California,CA,San Francisco,San Francisco,1854.1775,98002000,Financial Services,1
26151,249,24,DrChrono,California,CA,Mountain View,San Jose,1834.0544,2863000,Health,1
25612,250,75,Capstone (Sausalito CA),California,CA,Sausalito,San Francisco,1832.2052,13719024,Business Products & Services,1
26108,251,4,Alcohol by Volume,California,CA,Monterey,Salinas CA,1822.9191,4492939,Food & Beverage,1
26217,252,54,H.Bloom,New York,NY,New York,New York City,1817.2651,7209607,Consumer Products & Services,1
26409,253,150,Tealium,California,CA,San Diego,San Diego,1808.4227,12462000,Software,1
25743,254,360,Boostability,Utah,UT,Lehi,Provo-Orem UT,1806.2091,22344907,Advertising & Marketing,1
25558,255,42,Solve Media,New York,NY,New York,New York City,1798.0949,13031655,Advertising & Marketing,1
24869,256,22,Heartland Energy Partners,Virginia,VA,Arlington,Washington DC,1797.1091,2117648,Business Products & Services,1
22893,257,105,Bridger,Texas,TX,Addison,Dallas,1792.1589,3487872233,Energy,2
26431,258,200,Jeunesse Global,Florida,FL,Altamonte Springs,Orlando FL,1787.997,224009679,Consumer Products & Services,1
22965,259,52,Touchsuite,Florida,FL,Boca Raton,Miami,1769.7794,19209927,Software,2
23141,260,29,Acceleration Partners,Massachusetts,MA,Needham,Boston,1768.0759,8711828,Advertising & Marketing,2
26286,261,22,Moore Heating & Air Conditioning,California,CA,Santa Rosa,Santa Rosa-Petaluma CA,1757.6285,3124754,Construction,1
23427,262,16,Optimatic Media,New York,NY,New York,New York City,1753.3284,34313968,Advertising & Marketing,2
