Rank,Company,Growth,Industry,Revenue ($M),State,City,Metro,Times on List
434,Kenna Security,"1,045%",Security,13.24,California,San Francisco,San Francisco,1
435,CarLotz,"1,044%",Retail,38.54,Virginia,Richmond,Richmond,2
436,Assured Consulting Solutions,"1,044%",IT Management,21.35,Virginia,Reston,"Washington,DC",2
437,The Garrett Companies,"1,043%",Real Estate,67.80,Indiana,Greenwood,Indianapolis,4
438,Era Transport,"1,042%",Logistics & Transportation,10.09,Illinois,Chicago,Chicago,2
439,M-Communications,"1,040%",Telecommunications,20.83,Georgia,Evans,Augusta,1
440,ClickFunnels,"1,035%",Software,94.63,Idaho,Eagle,Boise City,2
441,BCM London,"1,033%",Construction,2.35,Georgia,Kennesaw,Atlanta,1
442,Uptime,"1,031%",Food & Beverage,15.89,California,Van Nuys,Los Angeles,2
443,Competitive Range Solutions,"1,031%",IT Management,12.69,Illinois,Alton,St. Louis,1
444,Real Broker,"1,031%",Real Estate,8.91,New York,New York,New York,1
445,Buhler Commercial,"1,023%",Construction,4.09,California,San Francisco,San Francisco,1
446,Trailhead Marketing,"1,021%",Advertising & Marketing,2.98,Oregon,Portland,Portland,1
447,Factor 75,"1,018%",Food & Beverage,22.29,Illinois,Batavia,Chicago,3
448,Algolia,"1,015%",Software,31.36,California,San Francisco,San Francisco,2
449,Midway Dental Supply,"1,013%",Health,74.33,Michigan,Livonia,Detroit,4
450,eAudit,"1,007%",Logistics & Transportation,3.89,North Carolina,Emerald Isle,"Morehead City,NC",1
451,Panagora Group,"1,002%",Government Services,5.95,Maryland,Silver Spring,"Washington,DC",1
452,MCI,"1,002%",Business Products & Services,45.09,Indiana,Iowa City,"Iowa City,IA",1
453,Abrams Realty,"1,002%",Real Estate,2.66,Virginia,Virginia Beach,Virginia Beach,2
454,Pelican Waste & Debris,998%,Environmental Services,18.65,Louisiana,Please Select,Houma,2
455,Gametime,996%,Consumer Products & Services,159.72,California,San Francisco,San Francisco,3
456,Morning Lavender,993%,Retail,4.43,California,Tustin,Los Angeles,2
457,Keypath Education,987%,Education,29.78,Illinois,Schaumburg,Chicago,1
458,Gemorie,987%,Retail,3.63,California,SAN GABRIEL,Los Angeles,1
459,Saved By The Dress,986%,Retail,11.26,Florida,Miami,Miami,2
460,Starc Systems,983%,Manufacturing,7.81,Maine,Brunswick,Portland,1
461,Angel Heart Boutique,981%,Retail,2.76,Oklahoma,Edmond,Oklahoma City,1
462,ARM Consulting,977%,Government Services,3.22,Virginia,Leesburg,"Washington,DC",2
463,Chacka Marketing,971%,Advertising & Marketing,18.82,Florida,Tampa,Tampa,3
464,MapleMark Bank,968%,Financial Services,7.55,Texas,Dallas,Dallas,1
465,Vonlane,967%,Logistics & Transportation,14.15,Texas,Dallas,Dallas,1
466,Prosper Group,966%,Advertising & Marketing,17.39,Indiana,Indianapolis,Indianapolis,1
467,Point3 Security,966%,Security,5.79,Maryland,Perry Hall,Baltimore,1
468,Directive,965%,Advertising & Marketing,4.53,California,Irvine,Los Angeles,1
469,Alkami Technology,958%,Financial Services,52.27,Texas,Plano,Dallas,3
470,QuickBox Fulfillment,957%,Logistics & Transportation,40.03,Colorado,Denver,Denver,1
471,SandsRx,956%,Health,42.88,Texas,Wylie,Dallas,1
472,The Building People,955%,Real Estate,11.63,Virginia,LEESBURG,"Washington,DC",2
473,The SnapBar,947%,Business Products & Services,2.04,Washington,Gig Harbor,Seattle,1
